연월,행정동코드,연령대코드,성별코드,구분명,인구수
2024-01,4812354000,60,2,내국인,3432
2024-01,4812354000,70,2,내국인,1682
2024-01,4812355000,0,1,내국인,1469
2024-01,4812355000,10,1,내국인,1850
2024-01,4812355000,20,1,내국인,2732
2024-01,4812355000,30,1,내국인,3030
2024-01,4812355000,40,1,내국인,2762
2024-01,4812355000,50,1,내국인,3581
2024-01,4812355000,60,1,내국인,2923
2024-01,4812355000,70,1,내국인,907
2024-01,4812355000,0,2,내국인,1503
2024-01,4812355000,10,2,내국인,1793
2024-01,4812355000,20,2,내국인,2031
2024-01,4812355000,30,2,내국인,2691
2024-01,4812355000,40,2,내국인,2876
2024-01,4812355000,50,2,내국인,4117
2024-01,4812355000,60,2,내국인,2667
2024-01,4812355000,70,2,내국인,1210
2024-01,4812356000,0,1,내국인,1005
2024-01,4812356000,10,1,내국인,1456
2024-01,4812356000,20,1,내국인,1839
2024-01,4812356000,30,1,내국인,1717
2024-01,4812356000,40,1,내국인,1915
2024-01,4812356000,50,1,내국인,2860
2024-01,4812356000,60,1,내국인,1996
2024-01,4812356000,70,1,내국인,528
2024-01,4812356000,0,2,내국인,933
2024-01,4812356000,10,2,내국인,1308
2024-01,4812356000,20,2,내국인,1389
2024-01,4812356000,30,2,내국인,1503
2024-01,4812356000,40,2,내국인,1954
2024-01,4812356000,50,2,내국인,2929
2024-01,4812356000,60,2,내국인,1658
2024-01,4812356000,70,2,내국인,638
2024-01,4812357000,0,1,내국인,143
2024-01,4812357000,10,1,내국인,356
2024-01,4812357000,20,1,내국인,598
2024-01,4812357000,30,1,내국인,503
2024-01,4812357000,40,1,내국인,571
2024-01,4812357000,50,1,내국인,693
2024-01,4812357000,60,1,내국인,649
2024-01,4812357000,70,1,내국인,383
2024-01,4812357000,0,2,내국인,143
2024-01,4812357000,10,2,내국인,306
2024-01,4812357000,20,2,내국인,321
2024-01,4812357000,30,2,내국인,316
2024-01,4812357000,40,2,내국인,494
2024-01,4812357000,50,2,내국인,652
2024-01,4812357000,60,2,내국인,685
2024-01,4812357000,70,2,내국인,508
2024-01,4812531000,0,1,내국인,46
2024-01,4812531000,10,1,내국인,74
2024-01,4812531000,20,1,내국인,135
2024-01,4812531000,30,1,내국인,134
2024-01,4812531000,40,1,내국인,249
2024-01,4812531000,50,1,내국인,335
2024-01,4812531000,60,1,내국인,606
2024-01,4812531000,70,1,내국인,482
