Team,Season,W,L,WIN%,Min,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,BLKA,PF,PFD,+/-
IndianaPacers,04-05,44,38,0.537,48.5,93,32.5,75.2,43.2,6.6,19.2,34.4,21.3,26.9,79.2,10.6,29.5,40.1,18.2,14.3,7.5,4.4,4.9,23,0.1,0.8
MinnesotaTimberwolves,04-05,44,38,0.537,48.2,96.8,37.1,80.8,45.9,4.8,14,34.5,17.7,22.2,79.6,11.5,31.5,43,23.4,13.2,5.6,5.5,3.9,21.6,0,1.5
Philadelphia76ers,04-05,43,39,0.524,48.4,99.1,35.9,82.1,43.7,6.2,17.7,34.8,21.1,26.8,78.9,11.1,30.9,42,20.9,15.5,9.2,3.9,4.7,22.9,0,-0.7
ClevelandCavaliers,04-05,42,40,0.512,48.4,96.5,36.5,81.5,44.7,3.7,11,33.2,19.9,26.5,75.2,13.6,28.7,42.3,22.6,13.9,8,5.6,5.1,22.6,0,0.8
NewJerseyNets,04-05,42,40,0.512,48.5,91.4,33.6,78.3,42.9,5.3,14.7,36.2,19,24.9,76.3,10.4,29.1,39.5,21.6,14.2,7.9,3.8,4.9,24.2,0,-1.5
LosAngelesClippers,04-05,37,45,0.451,48.9,95.7,35.7,77.7,45.9,2.8,8.2,34.5,21.6,27.7,77.8,12,29.9,41.9,23.2,15.7,7.3,5.1,4.8,22.2,0,-0.8
OrlandoMagic,04-05,36,46,0.439,48.1,99.5,37,81.5,45.4,3.9,11.2,34.9,21.6,28.5,75.9,12.7,31,43.7,19.3,16.1,7.7,5.4,4.3,23.6,0,-2.2
GoldenStateWarriors,04-05,34,48,0.415,48.5,98.7,36.9,85.8,43,7.6,21.6,35.2,17.2,23.8,72.2,13,29.7,42.7,22.1,13.6,7.8,5.1,5.1,22.4,0,-2.2
LosAngelesLakers,04-05,34,48,0.415,48.2,98.7,35.3,80.8,43.7,7.9,22.1,35.5,20.3,26.1,77.7,12.5,30.6,43.2,20.4,14.3,6.2,4.2,5.1,21.9,0,-3
NewYorkKnicks,04-05,33,49,0.402,48.5,97.3,36.3,80.5,45.1,5.4,15.1,35.6,19.3,25.1,76.7,11.8,29.2,41,20.3,14.7,7.7,3.2,4.7,23.7,0.1,-2.4
TorontoRaptors,04-05,33,49,0.402,48.3,99.7,36,81.2,44.4,7.9,20.5,38.5,19.8,25.6,77.4,10.3,29.8,40.1,20.4,13.3,7.6,3.9,4.4,22.9,0,-1.6
MilwaukeeBucks,04-05,30,52,0.366,48.2,97.2,36.1,80.2,45,4,11.3,35.1,21,27.2,77.2,12,29.3,41.3,21,13.8,6.5,3.5,4.5,21.9,0.1,-3
PortlandTrailBlazers,04-05,27,55,0.329,48.1,92.9,35.3,78.3,45.1,5.1,14.2,36.2,17.2,23.7,72.5,11.8,29.3,41.1,21,16,7.1,6.6,5,20.8,0.1,-4
UtahJazz,04-05,26,56,0.317,48.2,93,34.5,76.8,44.9,3,9.3,32.8,21,27.7,75.7,12.8,27.4,40.1,22.3,15.8,6.6,4.6,5.8,26.7,0,-4.3
CharlotteBobcats,04-05,18,64,0.22,48.5,94.3,36.1,83.6,43.2,3.9,10.7,36.3,18.1,25.6,70.9,13.2,28.5,41.7,21.9,14.5,8.5,5.4,5.4,23.1,0,-6
NewOrleansHornets,04-05,18,64,0.22,48.6,88.4,33.1,80,41.5,5.1,16,31.5,17.1,22.3,76.6,12.4,27.8,40.2,21,14.8,6.7,3.8,5.5,23,0,-7.1
AtlantaHawks,04-05,13,69,0.159,48.4,92.7,35.9,81.4,44.1,3.7,11.9,31.2,17.3,24.3,71.1,13.4,28.5,41.9,19.7,16.1,7.7,4.2,5.9,24.5,0,-9.7
IndianaPacers,03-04,61,21,0.744,48.3,91.4,33.6,77.1,43.5,5.5,15.6,35.1,18.8,24.6,76.4,11.8,29.9,41.7,21.6,14.4,8.9,5,6.2,20.8,0.1,5.8
MinnesotaTimberwolves,03-04,58,24,0.707,48.2,94.5,37,80.1,46.2,4,10.9,36.3,16.6,21.3,78.1,10.7,32.3,42.9,23,12.7,6.8,5.6,3.6,21.1,0.1,5.5
SanAntonioSpurs,03-04,57,25,0.695,48.2,91.5,34.7,78.5,44.2,5,13.9,35.8,17.2,25.2,68.1,12.5,32.5,45.1,20.4,14.7,8.1,6.5,4.6,20.3,0,7.2
LosAngelesLakers,03-04,56,26,0.683,48.4,98.2,36.9,81.4,45.4,4.5,13.6,32.7,19.9,28.7,69.3,12.2,30.9,43.1,23.8,13.8,8.3,4.6,3.8,21.1,0.1,3.9
SacramentoKings,03-04,55,27,0.671,48.2,102.8,37.8,81.8,46.2,7.3,18.3,40.1,19.8,24.9,79.5,10.8,30.4,41.2,26.2,13.9,8.7,4,5,19.3,0,5
DetroitPistons,03-04,54,28,0.659,48.2,90.1,33.5,77,43.5,4.1,11.8,34.4,19,25.3,75.3,12.4,30.4,42.8,20.8,15.1,8,7,5,20.3,0,5.8
DallasMavericks,03-04,52,30,0.634,48.3,105.2,40.5,88.2,45.9,6.2,17.8,34.8,18,22.6,79.6,14.3,31,45.3,23.9,12.2,8,5.3,4.7,19.6,0,4.4
