Team,Season,W,L,WIN%,Min,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,BLKA,PF,PFD,+/-
OklahomaCityThunder,24-25,59,12,0.831,48.1,119.8,44.4,92.6,48,14.4,38.9,37,16.6,20.2,82.1,10.8,34,44.8,26.8,11.8,10.5,5.8,4.8,20,18.3,12.9
ClevelandCavaliers,24-25,57,14,0.803,48.1,122.3,44.5,90.4,49.2,15.9,41.4,38.4,17.4,22.1,78.4,11,34.1,45.1,28.3,13,8.2,4.3,4.4,18.2,19.1,10.4
BostonCeltics,24-25,52,19,0.732,48.4,116.7,41.6,90,46.3,17.8,48.2,37,15.6,19.5,79.9,11.1,33.7,44.8,25.8,11.8,7.4,5.6,3.7,16.2,17.9,8.7
HoustonRockets,24-25,46,26,0.639,48.3,113.5,42,93.2,45.1,12.4,35.7,34.8,17.1,23.1,73.8,14.8,33.8,48.6,22.9,14,8.4,5.1,5.9,19.3,19.6,4.4
NewYorkKnicks,24-25,44,26,0.629,48.5,116.4,43.5,89.5,48.6,12.6,34.2,36.8,16.8,20.9,80.3,10.9,32.1,43,27.3,13.2,8.1,4,5.1,17,19,4.2
DenverNuggets,24-25,45,27,0.625,48.3,120.7,45.5,89.9,50.6,12.1,31.8,38.1,17.6,22.8,77.3,11.3,34.2,45.5,30.9,14.3,8.1,4.7,5.3,17.8,18.9,3.9
LosAngelesLakers,24-25,43,27,0.614,48.1,112.8,40.9,85.6,47.8,12.9,35.9,36,18.1,23.1,78.1,9.6,33,42.6,26.3,14,7.7,4.6,4.2,17.1,19.2,0.9
MemphisGrizzlies,24-25,43,28,0.606,48.1,122.1,44.9,93.5,48,13.7,37.4,36.6,18.6,23.7,78.4,13.2,34.2,47.4,28.7,15.9,9,5.9,5.7,21,20.5,5.2
IndianaPacers,24-25,41,29,0.586,48.4,116.6,43.4,88.7,48.9,13,35.2,36.8,16.8,21.3,78.9,8.9,32.3,41.2,29,13.5,8.5,5.2,4.4,19.1,18.7,1.2
GoldenStateWarriors,24-25,41,30,0.577,48.1,113.4,40.8,90.7,45,15.3,42.2,36.3,16.4,21.8,75.5,12.5,33.1,45.6,29.1,14,9.1,5.1,5.5,19.4,18.4,2.4
MilwaukeeBucks,24-25,40,30,0.571,48.1,114.5,41.6,86.6,48.1,14.1,36.8,38.2,17.1,22.8,75.3,8.5,35.5,44,25.1,13.6,7.4,4.8,4,18.1,18.9,2.4
MinnesotaTimberwolves,24-25,41,31,0.569,48.3,113.7,40.6,87.3,46.4,15.2,40,38,17.4,21.9,79.4,10.9,33,43.9,26,14.5,8.3,4.9,4.7,18.1,19.2,4.5
LAClippers,24-25,40,31,0.563,48.3,111.8,41.1,86.3,47.6,12.3,33.7,36.4,17.3,21.8,79.4,10.4,33.4,43.8,25,15.2,9.5,4.6,4.4,18.4,17.9,3.3
DetroitPistons,24-25,40,32,0.556,48.3,115.3,42.8,89.6,47.7,12.7,35.1,36.2,17.1,22,77.7,11.4,33.8,45.1,26.4,15.3,8.2,5.2,4.9,20.6,18.7,2.3
SacramentoKings,24-25,35,35,0.5,48.6,116.5,43.2,90.5,47.8,12.6,35.7,35.3,17.4,21.6,80.6,11.1,33.2,44.3,26.8,13.4,7.7,4.5,4.4,19,18.7,0.7
AtlantaHawks,24-25,35,36,0.493,48.3,117.6,43.1,91.9,46.9,13.2,37.1,35.6,18.2,23.5,77.3,11.9,32.7,44.6,29.4,15.7,9.8,5.3,5,18.9,19.5,-1.7
DallasMavericks,24-25,34,37,0.479,48.1,115,42.1,88.4,47.6,12.9,35.2,36.7,17.9,23,77.7,10.4,32.9,43.3,25.2,13.9,7.8,5.5,4.7,18.1,18.7,-0.4
PhoenixSuns,24-25,34,37,0.479,48.4,114.7,41.4,86,48.1,14.5,37.7,38.4,17.5,21.6,81.1,9.2,33.7,42.9,28.2,14,7.2,5,4.1,18.1,19,-1.1
OrlandoMagic,24-25,33,38,0.465,48.1,104.8,37.9,85.8,44.1,10.9,35.1,31.1,18.1,23.5,77.2,11.2,30.5,41.6,22.8,14.3,8.9,6,4.5,20.6,20.6,-1.3
PortlandTrailBlazers,24-25,32,40,0.444,48.2,111,40.5,89.5,45.2,13,37.3,34.8,17,22.2,76.8,12.9,31.5,44.4,23.7,16.1,8.1,5.4,5.4,19.2,19.2,-3.2
SanAntonioSpurs,24-25,31,39,0.443,48.1,114.6,42,89.8,46.8,14.1,39.5,35.6,16.5,21.3,77.5,11,32.9,43.9,29.1,13.9,8.3,5.9,4.4,16.6,17.7,-1.6
ChicagoBulls,24-25,31,40,0.437,48.2,117.1,43,92.1,46.7,15.6,42.6,36.6,15.5,19.3,80.7,9.9,35.4,45.3,28.9,14.6,7.6,4.7,5.1,17.9,16.7,-2.6
MiamiHeat,24-25,30,41,0.423,48.6,109.2,39.7,86.3,46,13.5,37.6,35.9,16.3,20.5,79.2,9.4,33.5,42.9,26.2,13.8,7.9,3.8,4.8,15.7,17.2,-1.5
TorontoRaptors,24-25,24,47,0.338,48.4,110.4,41.3,89.9,45.9,11.5,33.1,34.7,16.3,21.7,75,12.4,32.4,44.8,28.3,15.7,7.8,4.4,5.8,21.5,18.7,-5.5
BrooklynNets,24-25,23,48,0.324,48.3,105.4,37.7,86.2,43.8,13.5,39.1,34.5,16.4,20.8,78.8,11.2,30.1,41.3,25,15,7.9,4.4,5.8,20.6,19,-6.1
Philadelphia76ers,24-25,23,48,0.324,48.4,110.1,39.7,87.1,45.6,12.8,37,34.6,17.8,22.8,78.4,10.2,29.1,39.3,23.1,13.5,9.3,4.2,5.2,19.3,19.1,-5.5
NewOrleansPelicans,24-25,19,53,0.264,48.2,110.5,40.8,90,45.3,12.2,34.8,35,16.7,22.1,75.5,12.1,31.1,43.2,25.6,14.5,8.6,5.4,5.4,18.2,18,-8.9
CharlotteHornets,24-25,18,53,0.254,48.2,105.8,38.5,89.7,43,13.3,39,34.2,15.5,19.6,78.8,12.5,32.6,45.2,24.4,15.4,7.6,4.6,5.5,19.1,18.2,-8.2
UtahJazz,24-25,16,56,0.222,48.3,112,40.3,88.2,45.7,13.9,39.3,35.4,17.4,22.7,76.9,12.1,33.8,45.9,25.6,17.6,6.6,4.5,6.3,19,19.5,-7.8
WashingtonWizards,24-25,15,55,0.214,48.1,108.7,39.6,90.3,43.9,13.2,39.3,33.6,16.2,20.8,78.2,10.8,33.3,44.1,25.5,15.9,7.8,5.2,5.2,20.1,18.5,-12
BostonCeltics,23-24,64,18,0.78,48.4,120.6,43.9,90.2,48.7,16.5,42.5,38.8,16.3,20.2,80.7,10.7,35.6,46.3,26.9,11.9,6.8,6.6,3.7,16.2,17.3,11.3
DenverNuggets,23-24,57,25,0.695,48.1,114.9,44,88.8,49.6,11.7,31.2,37.4,15.1,19.9,76.2,10.7,33.7,44.4,29.5,12.6,7.1,5.6,4.8,18.2,17.9,5.3
OklahomaCityThunder,23-24,57,25,0.695,48.3,120.1,44.5,89.3,49.9,13.3,34.2,38.9,17.7,21.5,82.5,8.8,33.2,42,27.1,12.7,8.5,6.6,5.1,18.8,18.9,7.4
MinnesotaTimberwolves,23-24,56,26,0.683,48.3,113,41.3,85,48.5,12.6,32.7,38.7,17.8,22.9,77.7,9.4,34.2,43.6,26.6,14.2,7.9,6.1,4.5,18.8,19.9,6.5
LAClippers,23-24,51,31,0.622,48.1,115.6,42.4,86.7,48.9,12.6,33.2,38.1,18.3,22.2,82.5,10,32.9,43,25.6,13.1,7.8,5,4.7,18.5,18.7,3.3
DallasMavericks,23-24,50,32,0.61,48.1,117.9,43.1,89.7,48.1,14.6,39.5,36.9,17,22.5,75.8,9.7,33.2,42.9,25.7,12.5,6.9,5,4,18.3,20.3,2.2
NewYorkKnicks,23-24,50,32,0.61,48.1,112.8,41.3,88.7,46.5,13.2,35.8,36.9,17,21.8,78,12.7,32.5,45.2,24.4,13.2,7.5,4.1,5.3,17.6,19.1,4.6
MilwaukeeBucks,23-24,49,33,0.598,48.3,119,43.1,88.5,48.7,14.2,38.1,37.3,18.5,23.9,77.4,9.4,34.8,44.2,26.5,12.9,6.8,5,4.2,19.2,19.2,2.6
NewOrleansPelicans,23-24,49,33,0.598,48.1,115.1,42.5,87.4,48.6,12.5,32.6,38.3,17.6,22.8,77.1,10.4,33.6,44,27,13,8.3,4.6,5.2,18.4,18.4,4.4
PhoenixSuns,23-24,49,33,0.598,48.2,116.2,42.5,86.1,49.3,12.4,32.6,38.2,18.9,23.4,80.8,10.1,33.9,44.1,27,14.9,7.4,6,4.5,18,19.7,3.1
ClevelandCavaliers,23-24,48,34,0.585,48.3,112.6,41.8,87.2,47.9,13.5,36.8,36.7,15.6,20.4,76.5,9.8,33.4,43.3,28,13.6,7.4,4.6,5,17.5,18.7,2.4
IndianaPacers,23-24,47,35,0.573,48.1,123.3,47,92.7,50.7,13.2,35.3,37.4,16.1,20.5,78.2,10.1,31.4,41.5,30.8,12.9,7.7,5.9,5.4,21.4,18.3,3
LosAngelesLakers,23-24,47,35,0.573,48.4,118,43.7,87.5,49.9,11.8,31.4,37.7,18.9,24.2,78.2,8.2,34.9,43.1,28.5,14,7.4,5.5,4.8,15.6,19.7,0.6
OrlandoMagic,23-24,47,35,0.573,48.2,110.5,40.5,84.9,47.6,11,31.3,35.2,18.5,24.4,75.9,10.5,31.8,42.3,24.7,14.7,8.2,5.2,4.6,19.7,20.9,2
Philadelphia76ers,23-24,47,35,0.573,48.2,114.6,41.5,89.4,46.4,12.1,33.3,36.3,19.5,23.6,82.6,11,31.9,43,24.9,12,8.5,6,6.1,20.3,18.5,3
GoldenStateWarriors,23-24,46,36,0.561,48.4,117.8,43.7,91.6,47.7,14.8,38.9,38,15.6,20,78,12.1,34.6,46.7,29.3,14.3,7,4.6,5,19.5,17.9,2.6
MiamiHeat,23-24,46,36,0.561,48.2,110.1,39.8,85.6,46.5,12.5,33.7,37,18,22,81.8,9.3,33,42.3,25.8,12.7,7.5,3.4,4.7,17.3,18.9,1.8
SacramentoKings,23-24,46,36,0.561,48.4,116.6,43.3,90.9,47.7,14.4,39.3,36.6,15.5,20.9,74.5,10.8,33.2,44,28.3,13.1,7.6,4.2,4.5,19.9,18.3,1.7
HoustonRockets,23-24,41,41,0.5,48.4,114.3,41.8,91,45.9,12.7,36.1,35.2,18.1,23.4,77.3,11.5,34,45.5,24.8,12.7,7.8,4.6,5.9,20.8,19.6,1.1
ChicagoBulls,23-24,39,43,0.476,48.7,112.3,42,89.5,47,11.5,32.1,35.8,16.7,21.1,79.1,11.2,32.6,43.8,25,12.2,7.8,4.8,4.9,18.8,18.8,-1.4
AtlantaHawks,23-24,36,46,0.439,48.4,118.3,43,92.5,46.5,13.7,37.7,36.4,18.5,23.2,79.7,12.5,32.2,44.7,26.6,13.5,7.5,4.5,5.6,18.6,19.4,-2.2
BrooklynNets,23-24,32,50,0.39,48.3,110.4,40.7,89.1,45.6,13.3,36.7,36.2,15.8,20.9,75.6,11.4,32.6,44.1,25.6,13.1,6.8,5.2,5,18.5,18.2,-2.9
UtahJazz,23-24,31,51,0.378,48.3,115.7,42,89.9,46.7,12.9,36.5,35.4,18.8,22.6,83,12.2,33.2,45.5,27.2,15.7,6.5,5.6,6.4,18.6,19.2,-4.9
MemphisGrizzlies,23-24,27,55,0.329,48.2,105.8,38.4,88.2,43.5,13.1,37.8,34.6,16,21,76.4,10.9,31.7,42.6,24.7,15.1,8.2,6.1,6.5,19.1,18.8,-7
TorontoRaptors,23-24,25,57,0.305,48.3,112.4,42.3,89.7,47.1,11.5,33.1,34.7,16.3,21.6,75.6,10.9,31.8,42.7,28.5,14,7.7,4.7,5.8,18.4,18.1,-6.4
SanAntonioSpurs,23-24,22,60,0.268,48.4,112.1,41.9,90.7,46.2,12.6,36.4,34.7,15.6,20,78.2,10.4,33.9,44.2,29.9,15.1,7.1,6.3,4.6,17.2,17.9,-6.5
CharlotteHornets,23-24,21,61,0.256,48.1,106.6,40,87,46,12.1,34,35.5,14.5,18.4,78.6,9.3,31,40.3,24.8,13.8,6.9,4.5,4.8,18,17.5,-10.2
PortlandTrailBlazers,23-24,21,61,0.256,48.5,106.4,39.4,89.7,43.9,11.5,33.2,34.5,16.2,20.5,79.1,12.6,30.1,42.7,23.1,15.2,7.6,4.3,6.4,20.2,17.9,-9
WashingtonWizards,23-24,15,67,0.183,48.1,113.7,43,91.4,47,12.4,35.5,34.8,15.4,20.2,76.4,9.2,31.9,41.1,27.9,14,7.6,5.1,6,20,18,-9.3
DetroitPistons,23-24,14,68,0.171,48.2,109.9,40.9,88.2,46.3,11,31.7,34.8,17,21.7,78.5,10.5,32.8,43.3,25.5,15.2,6.5,4.7,6,20.6,17.8,-9.1
MilwaukeeBucks,22-23,58,24,0.707,48.4,116.9,42.7,90.4,47.3,14.8,40.3,36.8,16.6,22.4,74.3,11.1,37.5,48.6,25.8,14.6,6.4,4.9,3.9,18.1,19,3.6
BostonCeltics,22-23,57,25,0.695,48.7,117.9,42.2,88.8,47.5,16,42.6,37.7,17.5,21.6,81.2,9.7,35.6,45.3,26.7,13.4,6.4,5.2,3.9,18.8,19.1,6.5
Philadelphia76ers,22-23,54,28,0.659,48.5,115.2,40.8,83.8,48.7,12.6,32.6,38.7,21,25.1,83.5,8.7,32.2,40.9,25.2,13.7,7.7,4.7,4.6,20.4,19.6,4.3
DenverNuggets,22-23,53,29,0.646,48.2,115.8,43.6,86.4,50.4,11.8,31.2,37.9,16.8,22.4,75.1,10.1,32.9,43,28.9,14.5,7.5,4.5,4.2,18.6,19.5,3.3
ClevelandCavaliers,22-23,51,31,0.622,48.5,112.3,41.6,85.2,48.8,11.6,31.6,36.7,17.5,22.5,78,9.7,31.4,41.1,24.9,13.3,7.1,4.7,4.4,19,20.4,5.4
MemphisGrizzlies,22-23,51,31,0.622,48.2,116.9,43.7,92.1,47.5,12,34.2,35.1,17.5,23.8,73.3,12,34.6,46.6,26,13.6,8.3,5.8,5.2,20,20,3.9
SacramentoKings,22-23,48,34,0.585,48.4,120.7,43.6,88.2,49.4,13.8,37.3,36.9,19.8,25.1,79,9.5,32.9,42.5,27.3,13.5,7,3.4,4.2,19.7,20.9,2.6
NewYorkKnicks,22-23,47,35,0.573,48.7,116,42,89.4,47,12.6,35.7,35.4,19.4,25.5,76.1,12.6,34,46.6,22.9,13,6.4,4.1,4.5,20.3,20.7,2.9
BrooklynNets,22-23,45,37,0.549,48.1,113.4,41.5,85.1,48.7,12.8,33.8,37.8,17.7,22.1,80,8.2,32.3,40.5,25.5,13.7,7.1,6.2,3.9,21.1,18.5,0.9
PhoenixSuns,22-23,45,37,0.549,48.2,113.6,42.1,90.1,46.7,12.2,32.6,37.4,17.2,21.7,79.3,11.8,32.4,44.2,27.3,13.5,7.1,5.3,4,21.2,19.9,2.1
GoldenStateWarriors,22-23,44,38,0.537,48.4,118.9,43.1,90.2,47.9,16.6,43.2,38.5,16,20.2,79.4,10.5,34.1,44.6,29.8,16.3,7.2,4,4,21.4,18.4,1.8
LAClippers,22-23,44,38,0.537,48.4,113.6,41.1,86.1,47.7,12.7,33.3,38.1,18.7,23.9,78.1,9.8,33.4,43.2,23.9,14.2,7.1,4.4,4.2,19.5,19.6,0.5
MiamiHeat,22-23,44,38,0.537,48.3,109.5,39.2,85.3,46,12,34.8,34.4,19.1,23,83.1,9.7,30.9,40.6,23.8,13.5,8,3,3.8,18.5,20,-0.3
LosAngelesLakers,22-23,43,39,0.524,48.5,117.2,42.9,89,48.2,10.8,31.2,34.6,20.6,26.6,77.5,10,35.7,45.7,25.3,14.1,6.4,4.6,5.1,17.9,21.5,0.6
MinnesotaTimberwolves,22-23,42,40,0.512,48.4,115.8,42.9,87.4,49,12.2,33.3,36.5,17.9,23.7,75.5,9.1,32.8,41.9,26.2,15.3,8,5.4,4.1,21.6,20.2,0
NewOrleansPelicans,22-23,42,40,0.512,48.4,114.4,42,87.6,48,11,30.1,36.4,19.3,24.4,79.3,10.6,33.1,43.7,25.9,14.6,8.3,4.1,4.7,20.5,20.4,1.9
AtlantaHawks,22-23,41,41,0.5,48.4,118.4,44.6,92.4,48.3,10.8,30.5,35.2,18.5,22.6,81.8,11.2,33.2,44.4,25,12.9,7.1,4.9,5,18.8,19.7,0.3
TorontoRaptors,22-23,41,41,0.5,48.3,112.9,41.9,91.3,45.9,10.7,32,33.5,18.4,23.4,78.4,12.7,30.3,43,23.9,11.7,9.4,5.2,4.6,20,19.6,1.5
ChicagoBulls,22-23,40,42,0.488,48.5,113.1,42.5,86.8,49,10.4,28.9,36.1,17.6,21.8,80.9,8.5,33.9,42.4,24.5,13.4,7.9,4.5,4.7,18.9,18.7,1.3
OklahomaCityThunder,22-23,40,42,0.488,48.4,117.5,43.1,92.6,46.5,12.1,34.1,35.6,19.2,23.7,80.9,11.4,32.3,43.7,24.4,13,8.2,4.2,5.5,21,20.4,1.1
DallasMavericks,22-23,38,44,0.463,48.6,114.2,40,84.3,47.5,15.2,41,37.1,19,25.1,75.5,7.6,31.2,38.8,22.9,12.2,6.3,3.7,3.8,20.7,21.8,0.1
UtahJazz,22-23,37,45,0.451,48.3,117.1,42.5,89.8,47.3,13.3,37.8,35.3,18.7,23.8,78.6,11.8,34.1,45.9,26,15.4,6.1,5.2,4.9,20.5,20.5,-0.9
IndianaPacers,22-23,35,47,0.427,48.2,116.3,42,89.6,46.9,13.6,37,36.7,18.7,23.7,79,10.1,31.4,41.5,27,14.9,7.7,5.8,5.3,21.2,20.2,-3.2
WashingtonWizards,22-23,35,47,0.427,48.2,113.2,42.1,86.9,48.5,11.3,31.7,35.6,17.6,22.4,78.5,9.4,34.2,43.6,25.4,14.1,6.8,5.2,5,18.8,19.4,-1.2
OrlandoMagic,22-23,34,48,0.415,48.2,111.4,40.5,86.3,47,10.8,31.1,34.6,19.6,25,78.4,10.2,33.1,43.2,23.2,15.1,7.4,4.7,5.1,20.1,20.5,-2.6
PortlandTrailBlazers,22-23,33,49,0.402,48.1,113.4,40.5,85.4,47.4,12.9,35.3,36.5,19.6,24.6,79.6,9.4,31.1,40.5,24.2,14.5,6.7,4.6,4.3,20,20.5,-4
CharlotteHornets,22-23,27,55,0.329,48.4,111,41.3,90.4,45.7,10.7,32.5,33,17.6,23.6,74.9,11,33.5,44.5,25.1,14.2,7.7,5.2,5.7,20.3,20.3,-6.2
HoustonRockets,22-23,22,60,0.268,48.2,110.7,40.6,88.9,45.7,10.4,31.9,32.7,19.1,25.3,75.4,13.4,32.9,46.3,22.4,16.2,7.3,4.6,6.2,20.5,20.6,-7.9
SanAntonioSpurs,22-23,22,60,0.268,48.4,113,43.1,92.6,46.5,11.1,32.2,34.5,15.8,21.2,74.3,11.8,31.9,43.7,27.2,15.3,7,3.9,5.3,19.9,18.5,-10
DetroitPistons,22-23,17,65,0.207,48.3,110.3,39.6,87.1,45.4,11.4,32.4,35.1,19.8,25.7,77.1,11.2,31.3,42.4,23,15.1,7,3.8,5.5,22.1,21,-8.2
PhoenixSuns,21-22,64,18,0.78,48.1,114.8,43.7,90.1,48.5,11.6,31.9,36.4,15.9,19.9,79.7,9.8,35.5,45.3,27.4,12.9,8.6,4.4,4,19.9,18.9,7.5
MemphisGrizzlies,21-22,56,26,0.683,48.2,115.6,43.5,94.4,46.1,11.5,32.7,35.3,17,23.1,73.4,14.1,35,49.2,26,13.2,9.8,6.5,6,19.8,19.8,5.7
GoldenStateWarriors,21-22,53,29,0.646,48.1,111,40.5,86.4,46.9,14.3,39.4,36.4,15.6,20.3,76.9,9.8,35.7,45.5,27.1,14.9,8.8,4.5,3.9,21,18,5.5
MiamiHeat,21-22,53,29,0.646,48.4,110,39.6,84.8,46.7,13.6,35.8,37.9,17.3,21.4,80.8,9.8,33.9,43.7,25.5,14.6,7.4,3.2,4,20.5,20.6,4.5
DallasMavericks,21-22,52,30,0.634,48.2,108,39.3,85.1,46.1,13.1,37.4,35,16.4,21.2,77.1,9.3,33.8,43,23.4,12.5,6.7,4,3.7,19.7,20.1,3.3
BostonCeltics,21-22,51,31,0.622,48.5,111.8,40.7,87.4,46.6,13.2,37.1,35.6,17,20.9,81.6,10.5,35.5,46.1,24.8,13.6,7.2,5.8,4.6,18.5,19.4,7.3
MilwaukeeBucks,21-22,51,31,0.622,48.2,115.5,41.8,89.4,46.8,14.1,38.4,36.6,17.8,22.9,77.6,10.2,36.5,46.7,23.9,13.4,7.6,4,4.4,18.2,19.7,3.4
Philadelphia76ers,21-22,51,31,0.622,48.3,109.9,39.4,84.5,46.6,11.6,31.8,36.4,19.6,23.8,82.1,8.5,33.8,42.3,23.7,12.5,7.7,5.3,4.6,19.4,19.4,2.6
UtahJazz,21-22,49,33,0.598,48.1,113.6,40.6,86.2,47.1,14.5,40.3,36,17.9,23.4,76.7,10.8,35.6,46.3,22.4,14,7.2,4.9,4.3,18.9,20.3,6
DenverNuggets,21-22,48,34,0.585,48.3,112.7,41.7,86.3,48.3,12.7,35.9,35.3,16.7,21,79.5,9.2,34.9,44.1,27.8,14.5,7.2,3.7,4.8,20,19.9,2.3
TorontoRaptors,21-22,48,34,0.585,48.4,109.4,40.6,91.3,44.5,11.9,34.2,34.9,16.2,21.3,75.9,13.4,32,45.3,22.1,12.5,9,4.6,5.1,19.6,19.1,2.3
ChicagoBulls,21-22,46,36,0.561,48.1,111.6,41.7,86.9,48,10.6,28.8,36.9,17.5,21.5,81.3,8.7,33.7,42.3,23.9,12.8,7.1,4.1,5,18.8,18.2,-0.4
MinnesotaTimberwolves,21-22,46,36,0.561,48.2,115.9,41.6,91,45.7,14.8,41.3,35.8,18,23.1,77.8,11.2,32.9,44.2,25.7,14.3,8.8,5.6,4.8,21.8,20.9,2.6
BrooklynNets,21-22,44,38,0.537,48.2,112.9,42,88.4,47.5,11.5,31.7,36.1,17.5,21.7,80.5,10.3,34.1,44.4,25.3,14.1,7.1,5.5,4.9,20.4,19.7,0.8
ClevelandCavaliers,21-22,44,38,0.537,48.1,107.8,39.7,84.6,46.9,11.6,32.8,35.5,16.8,22.1,76,10.2,34,44.2,25.2,14.4,7.1,4.2,4.6,17.5,20,2.1
AtlantaHawks,21-22,43,39,0.524,48.1,113.9,41.5,88.3,47,12.9,34.4,37.4,18.1,22.3,81.2,10,33.9,44,24.6,11.9,7.2,4.2,4.5,18.7,20.3,1.6
CharlotteHornets,21-22,43,39,0.524,48.5,115.3,42.8,91.4,46.8,13.9,38.2,36.5,15.8,21.4,74,10.8,33.7,44.6,28.1,13.3,8.6,4.9,4.6,19.9,19.6,0.4
LAClippers,21-22,42,40,0.512,48.2,108.4,40.1,87.4,45.8,12.8,34.2,37.4,15.5,19.6,79.3,9.1,34.9,44,24,13.7,7.4,5,4.1,18.6,18.5,0
NewYorkKnicks,21-22,37,45,0.451,48.2,106.5,37.7,86.2,43.7,13.2,36.9,35.7,18,24.1,74.4,11.5,34.6,46.1,21.9,13.3,7,4.9,4.6,20.4,20.4,-0.1
NewOrleansPelicans,21-22,36,46,0.439,48.2,109.3,40.2,88,45.7,10.6,32.1,33.2,18.3,23.2,78.9,12,33.2,45.2,25,14.1,8.3,4,4.8,19.7,20.5,-1
WashingtonWizards,21-22,35,47,0.427,48.4,108.6,40.6,86,47.2,10.5,30.6,34.2,17,21.7,78.3,9,34.1,43.1,25,13.1,6.4,5,4.2,18.8,19.9,-3.4
SanAntonioSpurs,21-22,34,48,0.415,48.3,113.2,43.2,92.7,46.7,11.3,32,35.2,15.4,20.4,75.4,11,34.3,45.3,27.9,12.7,7.6,4.9,4.9,18.1,18.9,0.1
LosAngelesLakers,21-22,33,49,0.402,48.7,112.1,41.6,88.8,46.9,12,34.5,34.7,16.8,23,73.2,9.5,34.5,44,24,14.5,7.6,5.2,4.1,20.2,20.1,-3
SacramentoKings,21-22,30,52,0.366,48.3,110.3,40.5,88.1,46,11.4,33.2,34.4,17.9,23.3,76.8,9.6,33.4,42.9,23.7,14.1,7.2,4.5,4.8,18.9,20.3,-5.5
PortlandTrailBlazers,21-22,27,55,0.329,48.1,106.2,38.5,87.1,44.2,12.7,36.8,34.6,16.4,21.6,76,10.4,32.5,42.9,22.9,14.5,8,4.5,5,21.1,19.4,-8.9
IndianaPacers,21-22,25,57,0.305,48.5,111.5,41.4,89.5,46.3,12.2,35.4,34.4,16.4,21.4,76.8,11.3,32.6,43.9,25.4,14.4,7.1,5.6,4.9,20.4,19.2,-3.5
OklahomaCityThunder,21-22,24,58,0.293,48.3,103.7,38.3,89.1,43,12.1,37.4,32.3,15,19.9,75.6,10.4,35.2,45.6,22.2,14,7.6,4.6,6,18.3,17.8,-8.1
DetroitPistons,21-22,23,59,0.28,48.2,104.8,38.2,88.6,43.1,11.3,34.6,32.6,17.2,22,78.2,11,32,43,23.5,14.2,7.7,4.8,5.2,21.9,19.8,-7.7
OrlandoMagic,21-22,22,60,0.268,48.2,104.2,38.3,88.3,43.4,12.2,36.9,33.1,15.5,19.7,78.7,9.1,35.2,44.3,23.7,14.5,6.8,4.5,5.2,19.7,18.3,-8
HoustonRockets,21-22,20,62,0.244,48.2,109.7,39.4,86.4,45.6,13.5,38.7,34.9,17.5,24.5,71.3,9.6,32.4,42,23.6,16.5,7.3,4.7,5.8,20.6,22.1,-8.5
UtahJazz,20-21,52,20,0.722,48.2,116.4,41.3,88.1,46.8,16.7,43,38.9,17.2,21.5,79.9,10.6,37.6,48.3,23.7,14.2,6.6,5.2,3.9,18.5,19,9.3
PhoenixSuns,20-21,51,21,0.708,48.6,115.3,43.3,88.3,49,13.1,34.6,37.8,15.6,18.7,83.4,8.8,34.2,42.9,26.9,12.5,7.2,4.3,3.6,19.1,18,5.8
Philadelphia76ers,20-21,49,23,0.681,48.4,113.6,41.4,86.9,47.6,11.3,30.1,37.4,19.6,25.5,76.7,10,35,45.1,23.7,14.4,9.1,6.2,4.7,20.2,21,5.6
BrooklynNets,20-21,48,24,0.667,48.3,118.6,43.1,87.3,49.4,14.2,36.1,39.2,18.1,22.5,80.4,8.9,35.5,44.4,26.8,13.5,6.7,5.3,4.6,19,18.9,4.5
DenverNuggets,20-21,47,25,0.653,48.6,115.1,43.3,89.2,48.5,12.9,34.2,37.7,15.7,19.5,80.3,10.5,33.9,44.4,26.8,13.5,8.1,4.5,4.5,19.1,19.2,4.9
LAClippers,20-21,47,25,0.653,48,114,41.8,86.7,48.2,14.3,34.7,41.1,16.2,19.3,83.9,9.4,34.7,44.2,24.4,13.2,7.1,4.1,4.2,19.2,18.1,6.2
MilwaukeeBucks,20-21,46,26,0.639,48.1,120.1,44.7,91.8,48.7,14.4,37.1,38.9,16.2,21.4,76,10.3,37.8,48.1,25.5,13.8,8.1,4.6,4.8,17.3,18.3,5.9
DallasMavericks,20-21,42,30,0.583,48.1,112.4,41.1,87.3,47,13.8,38.1,36.2,16.5,21.2,77.8,9.1,34.2,43.3,22.9,12.1,6.3,4.3,3.7,19.4,20.1,2.3
LosAngelesLakers,20-21,42,30,0.583,48.5,109.5,40.6,86.1,47.2,11.1,31.2,35.4,17.2,23.3,73.9,9.7,34.6,44.2,24.7,15.2,7.8,5.4,4.5,19.1,21.3,2.8
PortlandTrailBlazers,20-21,42,30,0.583,48.1,116.1,41.3,91.1,45.3,15.7,40.8,38.5,17.8,21.6,82.3,10.6,33.9,44.5,21.3,11.1,6.9,5,4.6,18.9,19.1,1.8
AtlantaHawks,20-21,41,31,0.569,48.3,113.7,40.8,87.2,46.8,12.4,33.4,37.3,19.7,24.2,81.2,10.6,35.1,45.6,24.1,13.2,7,4.8,5,19.3,19.8,2.3
NewYorkKnicks,20-21,41,31,0.569,48.4,107,39.4,86.5,45.6,11.8,30,39.2,16.4,20.9,78.4,9.7,35.5,45.1,21.4,12.9,7,5.1,5.4,20.5,17.9,2.3
